RANK_x,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,original_name,match_name,score,match_index,RANK_y,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,UNNAMED: 9
31,cisco systems,San Jose,CA,Technology,10,87.86,99.59,78.87,85.23,cisco systems,cisco systems,100.0,30,2.0,cisco systems,31%,-,1800,151,65,65,Yes,View More details about Cisco Systems
8,nvidia,Santa Clara,CA,Technology,3,90.35,94.4,90.55,86.2,nvidia,nvidia,100.0,7,3.0,nvidia,-,-,1750,110,60,60,Yes,View More details about Nvidia
81,american express,New York City,NY,Financial,13,84.31,85.97,82.02,85.02,american express,american express,100.0,80,4.0,american express,-,-,2954,100,100,100,Yes,View More details about American Express
173,marriott international,Bethesda,MD,"Hotels, Dining & Leisure",2,80.31,78.44,82.13,80.43,marriott international,marriott international,100.0,173,8.0,marriott international,54%,66%,5155,40,40,40,Yes,View More details about Marriott International
51,cadence,San Jose,CA,Software,5,86.06,91.29,82.3,84.69,cadence,cadence,100.0,50,9.0,cadence,22%,58%,132,60,60,60,Yes,View More details about Cadence
322,intuit,Mountain View,CA,Software,13,75.8,87.14,69.6,70.74,intuit,intuit,100.0,322,23.0,intuit,51%,19%,846,80,80,80,Yes,View More details about Intuit
459,camden property trust,Houston,TX,Real Estate & Housing,40,72.08,75.18,67.83,73.31,camden property trust,camden property trust,100.0,459,24.0,camden property trust,41%,59%,43,-,-,-,No,View More details about Camden Property Trust
27,adobe,San Jose,CA,Software,3,88.39,93.23,85.93,86.11,adobe,adobe,100.0,26,25.0,adobe,-,-,618,130,80,80,No,View More details about Adobe
9,hewlett packard enterprise,Spring,TX,Technology,4,90.28,92.54,83.88,94.52,hewlett packard enterprise,hewlett packard enterprise,100.0,8,27.0,hewlett packard enterprise,27%,33%,300,130,130,130,Yes,View More details about Hewlett Packard Enterprise
323,bank of america,Charlotte,NC,Financial,31,75.78,82.42,71.04,73.96,bank of america,bank of america,100.0,323,33.0,bank of america,53%,50%,3545,80,80,80,Yes,View More details about Bank of America
80,metlife,New York City,NY,Financial,12,84.34,89.11,82.59,81.42,metlife,metlife,100.0,79,36.0,metlife,-,-,609,40,40,40,Yes,View More details about MetLife
531,the cheesecake factory,Calabasas,CA,"Hotels, Dining & Leisure",13,69.98,82.19,60.27,67.58,cheesecake factory,the cheesecake factory,85.55375332069198,531,40.0,cheesecake factory,46%,72%,2766,-,-,-,No,View More details about Cheesecake Factory
33,visa,San Francisco,CA,Financial,4,87.68,93.08,83.1,86.96,visa,visa,100.0,32,49.0,visa,44%,21%,250,110,70,70,Yes,View More details about Visa
107,elevance health,Indianapolis,IN,Financial,18,83.29,87.3,88.64,74.01,elevance health,elevance health,100.0,106,58.0,elevance health,77%,48%,3603,30,30,30,Yes,View More details about Elevance Health
7,mastercard,Purchase,NY,Financial,1,91.17,95.49,95.57,82.54,mastercard,mastercard,100.0,6,63.0,mastercard,-,-,746,80,80,80,Yes,View More details about Mastercard
