NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,normalized_name_nmr,matched_name,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,normalized_name_f100,JUST_CAPITALS_JUST_100_RANK,Company,Industry,normalized_name_jc100,POINTS_OF_LIGHT_CIVIC_50,normalized_name_c50
1,Merck,Rahway,NJ,"Health Care, Life Sciences & Pharmaceuticals",1,97.83,95.31,98.28,100.0,merck,merck,,,,,,,,,,,,,,,,
2,General Mills,Minneapolis,MN,Retail & Consumer Goods,1,96.85,96.97,100.0,93.66,general mills,general mills,,,,,,,,,,,,,,,"GENERAL MILLS, INC.",general mills
3,Illumina,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",2,92.56,94.35,94.37,89.04,illumina,illumina,,,,,,,,,,,56.0,Illumina Inc,Pharmaceuticals & Biotech,illumina,,
4,Applied Materials,Santa Clara,CA,Technology,1,91.88,94.92,90.5,90.33,applied materials,applied materials,,,,,,,,,,,13.0,Applied Materials Inc,Semiconductors & Equipment,applied materials,,
5,Tapestry,New York City,NY,Retail & Consumer Goods,2,91.59,91.9,87.33,95.63,tapestry,tapestry,,,,,,,,,,,,,,,"TAPESTRY, INC.",tapestry
6,HP,Palo Alto,CA,Technology,2,91.44,91.18,98.33,84.91,hp,hp,86.0,HP,33%,40%,765,100,60,60,Yes,hp,,,,,,
7,Mastercard,Purchase,NY,Financial,1,91.17,95.49,95.57,82.54,mastercard,mastercard,63.0,Mastercard,-,-,746,80,80,80,Yes,mastercard,32.0,Mastercard Inc,Transaction Processing,mastercard,,
8,NVIDIA,Santa Clara,CA,Technology,3,90.35,94.4,90.55,86.2,nvidia,nvidia,3.0,Nvidia,-,-,1750,110,60,60,Yes,nvidia,,,,,,
9,Hewlett Packard Enterprise,Spring,TX,Technology,4,90.28,92.54,83.88,94.52,hewlett packard enterprise,hewlett packard enterprise,27.0,Hewlett Packard Enterprise,27%,33%,300,130,130,130,Yes,hewlett packard enterprise,1.0,Hewlett Packard Enterprise Company,Computer Services,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,hewlett packard enterprise
10,Agilent,Santa Clara,CA,"Health Care, Life Sciences & Pharmaceuticals",3,90.02,89.91,93.84,86.4,agilent,agilent,,,,,,,,,,,,,,,,
11,Avery Dennison,Glendale,CA,Capital Goods,1,89.86,99.33,80.14,90.22,avery dennison,avery dennison,,,,,,,,,,,,,,,,
12,Ecolab,St. Paul,MN,Materials & Chemicals,1,89.86,91.99,90.74,86.95,ecolab,ecolab,,,,,,,,,,,,,,,,
13,Analog Devices,Wilmington,MA,Technology,5,89.82,98.4,71.16,99.98,analog devices,analog devices,,,,,,,,,,,,,,,,
14,Palo Alto Networks,Santa Clara,CA,Software,1,89.78,85.0,90.99,93.43,palo alto networks,palo alto networks,,,,,,,,,,,,,,,,
15,American Tower,Boston,MA,Media & Telecommunications,1,89.3,96.15,87.29,84.54,american tower,american tower,,,,,,,,,,,,,,,,
16,PayPal,San Jose,CA,Financial,2,89.29,87.95,89.56,90.44,paypal,paypal,,,,,,,,,,,,,,,,
17,The Hartford,Hartford,CT,Financial,3,89.26,81.62,96.76,89.49,the hartford,the hartford,,,,,,,,,,,,,,,,
18,Keysight,Santa Rosa,CA,Technology,6,89.08,89.37,92.65,85.32,keysight,keysight,,,,,,,,,,,,,,,,
19,Advanced Micro Devices,Santa Clara,CA,Technology,7,89.02,97.49,83.02,86.65,advanced micro devices,advanced micro devices,,,,,,,,,,,23.0,Advanced Micro Devices Inc,Semiconductors & Equipment,advanced micro devices,,
20,Regeneron,Tarrytown,NY,"Health Care, Life Sciences & Pharmaceuticals",4,88.93,87.05,92.88,86.95,regeneron,regeneron,,,,,,,,,,,,,,,,
21,BorgWarner,Auburn Hills,MI,Automotive & Components,1,88.92,87.95,93.23,85.67,borgwarner,borgwarner,,,,,,,,,,,,,,,,
22,Autodesk,San Francisco,CA,Software,2,88.91,84.99,89.22,92.6,autodesk,autodesk,,,,,,,,,,,,,,,,
23,Danaher,Washington,D.C.,"Health Care, Life Sciences & Pharmaceuticals",5,88.86,87.08,85.24,94.35,danaher,danaher,,,,,,,,,,,,,,,,
24,Ingersoll Rand,Davidson,NC,Capital Goods,2,88.64,91.75,78.51,95.75,ingersoll rand,ingersoll rand,,,,,,,,,,,,,,,,
25,AMN Healthcare,Dallas,TX,"Health Care, Life Sciences & Pharmaceuticals",6,88.51,88.67,91.83,85.12,amn healthcare,amn healthcare,,,,,,,,,,,,,,,,
26,Lam Research,Fremont,CA,Technology,8,88.44,98.34,83.45,83.64,lam research,lam research,,,,,,,,,,,,,,,,
27,Adobe,San Jose,CA,Software,3,88.39,93.23,85.93,86.11,adobe,adobe,25.0,Adobe,-,-,618,130,80,80,No,adobe,,,,,ADOBE INC.,adobe
28,Zurn Elkay Water Solutions,Milwaukee,WI,Capital Goods,3,88.17,94.62,74.6,95.38,zurn elkay water solutions,zurn elkay water solutions,,,,,,,,,,,,,,,,
29,Qualcomm,San Diego,CA,Technology,9,88.03,90.75,77.82,95.61,qualcomm,qualcomm,,,,,,,,,,,44.0,Qualcomm Inc,Semiconductors & Equipment,qualcomm,,
30,Ciena,Hanover,MD,Media & Telecommunications,2,87.96,97.42,81.28,85.27,ciena,ciena,,,,,,,,,,,,,,,,
31,Cisco Systems,San Jose,CA,Technology,10,87.86,99.59,78.87,85.23,cisco systems,cisco systems,2.0,Cisco Systems,31%,-,1800,151,65,65,Yes,cisco systems,,,,,,
32,Thermo Fisher Scientific,Waltham,MA,"Health Care, Life Sciences & Pharmaceuticals",7,87.79,90.66,86.84,85.98,thermo fisher scientific,thermo fisher scientific,,,,,,,,,,,,,,,,
33,Visa,San Francisco,CA,Financial,4,87.68,93.08,83.1,86.96,visa,visa,49.0,Visa,44%,21%,250,110,70,70,Yes,visa,,,,,,
34,T-Mobile,Bellevue,WA,Media & Telecommunications,3,87.64,97.4,83.17,82.45,tmobile,tmobile,,,,,,,,,,,,,,,,
35,CBRE,Dallas,TX,Real Estate & Housing,1,87.63,89.79,88.15,85.05,cbre,cbre,,,,,,,,,,,,,,,,
36,HNI,Muscatine,IA,Retail & Consumer Goods,3,87.54,91.38,77.92,93.41,hni,hni,,,,,,,,,,,,,,,,
37,ManpowerGroup,Milwaukee,WI,Professional Services,1,87.43,90.59,79.24,92.55,manpowergroup,manpowergroup,,,,,,,,,,,,,,,,
38,Infinera,San Jose,CA,Technology,11,87.4,94.21,74.07,94.03,infinera,infinera,,,,,,,,,,,,,,,,
39,Motorola Solutions,Chicago,IL,Technology,12,87.23,89.36,84.8,87.62,motorola solutions,motorola solutions,,,,,,,,,,,,,,,,
40,Xylem,Washington,D.C.,Capital Goods,4,87.17,90.86,86.06,84.67,xylem,xylem,,,,,,,,,,,,,,,,
41,Otis,Farmington,CT,Capital Goods,5,87.13,89.42,78.45,93.6,otis,otis,,,,,,,,,,,,,,,,
42,Apple,Cupertino,CA,Technology,13,87.09,95.21,82.1,84.07,apple,apple,,,,,,,,,,,,,,,,
43,DXC Technology,Tysons,VA,Professional Services,2,86.89,93.04,69.76,97.96,dxc technology,dxc technology,,,,,,,,,,,,,,,,
44,Edgewell Personal Care,Shelton,CT,Retail & Consumer Goods,4,86.87,90.36,72.95,97.39,edgewell personal care,edgewell personal care,,,,,,,,,,,,,,,,
45,Humana,Louisville,KY,Financial,5,86.49,91.34,86.07,82.14,humana,humana,,,,,,,,,,,,,,,,
