2024 RANK,2023 RANK,COMPANY,TICKER,FINAL SCORE,2023 RETURN,RECENT PRICE
1,1,Clorox Company,CLX,77,5,151.05
2,3,Kimberly-Clark,KMB,76,-7,118.29
3,4,CBRE Group,CBRE,76,21,93.13
4,10,Hasbro,HAS,76,-11.7,50.78
5,20,Agilent Technologies,A,76,-6.5,134.84
6,19,Owens Corning,OC,75,76.2,139.95
7,6,Jones Lang LaSalle,JLL,75,18.5,188.94
8,56,Tetra Tech,TTEK,75,15.7,179.4
9,NR,Constellation Energy,CEG,74,36.9,131.16
10,12,Procter & Gamble,PG,73,-0.8,157.51
11,7,Best Buy,BBY,73,2.2,73.75
12,40,S&P Global,SPGI,73,32.6,423.57
13,NR,Lennox International,LII,73,88.9,448.41
14,NR,Regal Rexnord,RRX,72,24.5,161.39
15,13,Xylem,XYL,72,4.6,123.79
16,2,Intel,INTC,72,92.9,43.51
17,5,Waters,WAT,72,-3.9,325.21
18,34,Hologic,HOLX,72,-4.5,73.79
19,15,Republic Services,RSG,72,29.4,180.43
20,77,Lam Research,LRCX,72,88.1,926.03
21,9,Ecolab,ECL,72,37.8,215.38
22,17,Eversource Energy,ES,72,-23.2,58.87
23,23,Hormel Foods,HRL,72,-27.1,28.99
24,NR,Applied Materials,AMAT,71,67.7,199.57
25,22,General Mills,GIS,71,-19.6,64.1
26,NR,Ball Corp.,BALL,71,14,62.09
27,27,Kroger,KR,71,5,47.64
28,97,Interpublic,IPG,71,1.7,32.45
29,55,AptarGroup,ATR,71,13.8,137.5
30,26,Texas Instruments,TXN,71,6.2,160.38
31,18,American Water Works,AWK,71,-11.6,122.82
32,NR,Electronic Arts,EA,71,12.6,142.28
33,54,McCormick & Company,MKC,71,-15.5,66.15
34,NR,W.W. Grainger,GWW,71,50.3,935.8
35,8,Carrier Global,CARR,71,41.1,54
36,70,Regions Financial,RF,71,-6,18.48
37,NR,Exelon,EXC,71,-13.6,34.91
38,29,Merck,MRK,71,0.9,127.79
39,NR,Prudential Financial,PRU,71,9.3,107.28
40,NR,Deckers Outdoor,DECK,70,67.5,862.98
41,24,Nvidia,NVDA,70,239,726.13
42,NR,Ormat Technologies,ORA,70,-11.8,67.12
43,NR,PPG Industries,PPG,70,21,141.91
44,44,Danaher,DHR,70,-1.2,250
45,36,Bank of America,BAC,70,4.4,34.09
46,63,Estee Lauder,EL,70,-40,146.37
47,NR,Waste Management,WM,70,15.9,201.54
48,NR,Insight Enterprises,NSIT,70,76.7,179.58
49,99,Avery Dennison,AVY,70,13.4,208.83
50,73,Franklin Resources,BEN,70,16.3,27.27
51,72,Moody's,MCO,70,41.3,370.76
52,NR,MetLife,MET,70,-5.8,68.77
53,82,Autodesk,ADSK,70,30.3,258.3
54,38,Campbell Soup,CPB,70,-21.2,41.45
55,45,MSCI,MSCI,70,22.8,568.75
56,71,Omnicom Group,OMC,70,9.5,87.51
57,46,Air Products and Chemicals,APD,70,-8.9,226.85
58,14,Colgate-Palmolive,CL,70,3.6,83.48
59,41,NextEra Energy,NEP,69,-51.8,28.55
60,47,HP Inc.,HPQ,69,15.9,28.58
61,21,Walmart,WMT,69,12.8,170.36
62,37,Avient,AVNT,69,26.1,38.9
63,NR,Ingredion,INGR,69,13.9,114.17
64,76,Morningstar,MORN,69,32.9,273.91
65,49,Williams-Sonoma,WSM,69,78.6,226.1
66,NR,Teradyne,TER,69,24.7,102.24
67,NR,Nucor,NUE,69,33.6,185.58
68,NR,Trex,TREX,69,95.6,90.86
69,28,Darling Ingredients,DAR,69,-20.4,42.61
70,60,Stanley Black & Decker,SWK,69,34.9,88.35
71,NR,Avangrid,AGR,69,-20.5,31.63
72,30,Lowe's,LOW,69,13.9,226.85
73,NR,Amicus Therapeutics,FOLD,69,16.2,13.76
74,88,Cirrus Logic,CRUS,69,11.7,90.27
75,NR,Verisk Analytics,VRSK,68,36.2,244.7
76,48,Affiliated Managers Group,AMG,68,-4.4,156.72
77,75,ON Semiconductor,ON,68,33.9,78.64
78,NR,Asbury Automotive Group,ABG,68,25.5,216.89
79,NR,Mastercard,MA,68,23.3,468.13
80,65,ExlService Holdings,EXLS,68,-9,30.57
81,100,Keysight Technologies,KEYS,68,-7,155.22
82,NR,PTC,PTC,68,45.8,178.19
83,NR,Cisco Systems,CSCO,68,9.3,48.44
84,69,Teradata,TDC,68,29.3,37.39
85,50,Merit Medical Systems,MMSI,68,7.6,79.45
86,59,Mondelez International,MDLZ,68,11.1,71.98
87,57,Sprouts Farmers Market,SFM,68,48.6,52.85
88,98,HubSpot,HUBS,68,100.8,613.5
89,86,TJX Cos.,TJX,68,19.5,98.04
90,61,Citizens Financial Group,CFG,68,-11.6,31.56
91,67,Target,TGT,68,-1.5,149.61
92,NR,Arrow Electronics,ARW,68,16.9,113.8
93,66,Badger Meter,BMI,68,42.5,157.41
94,NR,MarketAxess Holdings,MKTX,68,6,219.04
95,NR,SEI Investments Company,SEIC,68,10.5,65.87
96,74,Caterpillar,CAT,68,25.5,321.91
97,NR,Kraft Heinz Company,KHC,68,-5.2,34.81
98,87,ABM Industries,ABM,68,2.9,40.58
99,NR,Summit Materials,SUM,68,35.5,41.54
100,NR,Ultragenyx Pharmaceutical,RARE,68,3.2,48.92
