STANDARDIZED_COMPANY_x,STANDARDIZED_COMPANY_y,match,COMPANY,NAME,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK
merck,merck,merck,Merck,Merck,1,62.0
general mills,,,General Mills,,2,
illumina,,,Illumina,,3,
applied materials,,,Applied Materials,,4,
tapestry,,,Tapestry,,5,
hp,hp,hp,HP,HP,6,86.0
mastercard,mastercard,mastercard,Mastercard,Mastercard,7,63.0
nvidia,nvidia,nvidia,NVIDIA,Nvidia,8,3.0
hewlett packard enterprise,hewlett packard enterprise,hewlett packard enterprise,Hewlett Packard Enterprise,Hewlett Packard Enterprise,9,27.0
agilent,,,Agilent,,10,
avery dennison,,,Avery Dennison,,11,
ecolab,,,Ecolab,,12,
analog devices,,,Analog Devices,,13,
palo alto networks,,,Palo Alto Networks,,14,
american tower,,,American Tower,,15,
paypal,,,PayPal,,16,
the hartford,,,The Hartford,,17,
keysight,ey,ey,Keysight,EY,18,64.0
advanced micro devices,,,Advanced Micro Devices,,19,
regeneron,,,Regeneron,,20,
borgwarner,,,BorgWarner,,21,
autodesk,,,Autodesk,,22,
danaher,,,Danaher,,23,
ingersoll rand,,,Ingersoll Rand,,24,
amn healthcare,,,AMN Healthcare,,25,
lam research,,,Lam Research,,26,
adobe,adobe,adobe,Adobe,Adobe,27,25.0
zurn elkay water solutions,,,Zurn Elkay Water Solutions,,28,
qualcomm,,,Qualcomm,,29,
ciena,,,Ciena,,30,
cisco systems,cisco systems,cisco systems,Cisco Systems,Cisco Systems,31,2.0
thermo fisher scientific,,,Thermo Fisher Scientific,,32,
visa,visa,visa,Visa,Visa,33,49.0
tmobile,,,T-Mobile,,34,
cbre,,,CBRE,,35,
hni,,,HNI,,36,
manpowergroup,,,ManpowerGroup,,37,
infinera,,,Infinera,,38,
motorola solutions,,,Motorola Solutions,,39,
xylem,,,Xylem,,40,
otis,,,Otis,,41,
apple,,,Apple,,42,
dxc technology,,,DXC Technology,,43,
edgewell personal care,,,Edgewell Personal Care,,44,
humana,,,Humana,,45,
teradata,,,Teradata,,46,
organon,,,Organon,,47,
keurig dr pepper,,,Keurig Dr Pepper,,48,
sp global,,,S&P Global,,49,
general motors,,,General Motors,,50,
cadence,cadence,cadence,Cadence,Cadence,51,9.0
juniper networks,,,Juniper Networks,,52,
colgatepalmolive,,,Colgate-Palmolive,,53,
kimberlyclark,,,Kimberly-Clark,,54,
