RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
1,Merck,Rahway,NJ,"Health Care, Life Sciences & Pharmaceuticals",1,97.83,95.31,98.28,100.0
2,General Mills,Minneapolis,MN,Retail & Consumer Goods,1,96.85,96.97,100.0,93.66
3,Illumina,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",2,92.56,94.35,94.37,89.04
4,Applied Materials,Santa Clara,CA,Technology,1,91.88,94.92,90.5,90.33
5,Tapestry,New York City,NY,Retail & Consumer Goods,2,91.59,91.9,87.33,95.63
6,HP,Palo Alto,CA,Technology,2,91.44,91.18,98.33,84.91
7,Mastercard,Purchase,NY,Financial,1,91.17,95.49,95.57,82.54
8,NVIDIA,Santa Clara,CA,Technology,3,90.35,94.4,90.55,86.2
9,Hewlett Packard Enterprise,Spring,TX,Technology,4,90.28,92.54,83.88,94.52
10,Agilent,Santa Clara,CA,"Health Care, Life Sciences & Pharmaceuticals",3,90.02,89.91,93.84,86.4
11,Avery Dennison,Glendale,CA,Capital Goods,1,89.86,99.33,80.14,90.22
12,Ecolab,St. Paul,MN,Materials & Chemicals,1,89.86,91.99,90.74,86.95
13,Analog Devices,Wilmington,MA,Technology,5,89.82,98.4,71.16,99.98
14,Palo Alto Networks,Santa Clara,CA,Software,1,89.78,85.0,90.99,93.43
15,American Tower,Boston,MA,Media & Telecommunications,1,89.3,96.15,87.29,84.54
16,PayPal,San Jose,CA,Financial,2,89.29,87.95,89.56,90.44
17,The Hartford,Hartford,CT,Financial,3,89.26,81.62,96.76,89.49
18,Keysight,Santa Rosa,CA,Technology,6,89.08,89.37,92.65,85.32
19,Advanced Micro Devices,Santa Clara,CA,Technology,7,89.02,97.49,83.02,86.65
20,Regeneron,Tarrytown,NY,"Health Care, Life Sciences & Pharmaceuticals",4,88.93,87.05,92.88,86.95
21,BorgWarner,Auburn Hills,MI,Automotive & Components,1,88.92,87.95,93.23,85.67
22,Autodesk,San Francisco,CA,Software,2,88.91,84.99,89.22,92.6
23,Danaher,Washington,D.C.,"Health Care, Life Sciences & Pharmaceuticals",5,88.86,87.08,85.24,94.35
24,Ingersoll Rand,Davidson,NC,Capital Goods,2,88.64,91.75,78.51,95.75
25,AMN Healthcare,Dallas,TX,"Health Care, Life Sciences & Pharmaceuticals",6,88.51,88.67,91.83,85.12
26,Lam Research,Fremont,CA,Technology,8,88.44,98.34,83.45,83.64
27,Adobe,San Jose,CA,Software,3,88.39,93.23,85.93,86.11
28,Zurn Elkay Water Solutions,Milwaukee,WI,Capital Goods,3,88.17,94.62,74.6,95.38
29,Qualcomm,San Diego,CA,Technology,9,88.03,90.75,77.82,95.61
30,Ciena,Hanover,MD,Media & Telecommunications,2,87.96,97.42,81.28,85.27
31,Cisco Systems,San Jose,CA,Technology,10,87.86,99.59,78.87,85.23
32,Thermo Fisher Scientific,Waltham,MA,"Health Care, Life Sciences & Pharmaceuticals",7,87.79,90.66,86.84,85.98
33,Visa,San Francisco,CA,Financial,4,87.68,93.08,83.1,86.96
34,T-Mobile,Bellevue,WA,Media & Telecommunications,3,87.64,97.4,83.17,82.45
35,CBRE,Dallas,TX,Real Estate & Housing,1,87.63,89.79,88.15,85.05
36,HNI,Muscatine,IA,Retail & Consumer Goods,3,87.54,91.38,77.92,93.41
37,ManpowerGroup,Milwaukee,WI,Professional Services,1,87.43,90.59,79.24,92.55
38,Infinera,San Jose,CA,Technology,11,87.4,94.21,74.07,94.03
39,Motorola Solutions,Chicago,IL,Technology,12,87.23,89.36,84.8,87.62
40,Xylem,Washington,D.C.,Capital Goods,4,87.17,90.86,86.06,84.67
41,Otis,Farmington,CT,Capital Goods,5,87.13,89.42,78.45,93.6
42,Apple,Cupertino,CA,Technology,13,87.09,95.21,82.1,84.07
43,DXC Technology,Tysons,VA,Professional Services,2,86.89,93.04,69.76,97.96
44,Edgewell Personal Care,Shelton,CT,Retail & Consumer Goods,4,86.87,90.36,72.95,97.39
45,Humana,Louisville,KY,Financial,5,86.49,91.34,86.07,82.14
46,Teradata,San Diego,CA,Software,4,86.42,91.91,71.08,96.38
47,Organon,Jersey City,NJ,"Health Care, Life Sciences & Pharmaceuticals",8,86.41,85.41,92.38,81.52
48,Keurig Dr Pepper,Burlington,MA,Retail & Consumer Goods,5,86.36,93.0,79.29,86.88
49,S&P Global,New York City,NY,Financial,6,86.36,97.28,82.04,79.85
50,General Motors,Detroit,MI,Automotive & Components,2,86.26,87.63,93.67,77.56
51,Cadence,San Jose,CA,Software,5,86.06,91.29,82.3,84.69
52,Juniper Networks,Sunnyvale,CA,Technology,14,85.95,89.3,69.39,99.26
53,Colgate-Palmolive,New York City,NY,Retail & Consumer Goods,6,85.91,94.71,86.69,76.43
54,Kimberly-Clark,Dallas,TX,Retail & Consumer Goods,7,85.86,80.12,86.57,90.99
55,UnitedHealth Group,Minnetonka,MN,"Health Care, Life Sciences & Pharmaceuticals",9,85.83,85.74,96.06,75.78
56,Fifth Third Bank,Cincinnati,OH,Financial,7,85.83,89.32,94.73,73.52
57,Unum Group,Chattanooga,TN,Financial,8,85.8,85.54,93.59,78.35
58,Nasdaq,New York City,NY,Financial,9,85.74,92.19,76.57,88.55
59,Ralph Lauren,New York City,NY,Retail & Consumer Goods,8,85.72,92.72,75.08,89.44
60,Las Vegas Sands,Las Vegas,NV,"Hotels, Dining & Leisure",1,85.56,97.46,79.37,79.94
61,Target,Minneapolis,MN,Retail & Consumer Goods,9,85.52,88.27,85.99,82.38
62,IFF,New York City,NY,Materials & Chemicals,2,85.43,88.07,85.88,82.44
63,Grainger,Lake Forest,IL,Capital Goods,6,85.11,90.35,81.78,83.3
64,Avient,Avon Lake,OH,Materials & Chemicals,3,85.0,88.97,81.49,84.63
65,Estée Lauder Companies,New York City,NY,Retail & Consumer Goods,10,84.99,92.67,94.26,68.15
66,Baxter,Deerfield,IL,"Health Care, Life Sciences & Pharmaceuticals",10,84.98,90.96,91.34,72.72
67,Fluor,Irving,TX,Capital Goods,7,84.86,89.01,77.76,87.9
68,State Street,Boston,MA,Financial,10,84.84,84.8,89.73,80.07
69,Lowe's Companies,Mooresville,NC,Retail & Consumer Goods,11,84.82,88.41,83.47,82.68
70,Dell Technologies,Round Rock,TX,Technology,15,84.78,86.65,79.08,88.7
71,AptarGroup,Crystal Lake,IL,Materials & Chemicals,4,84.78,94.35,81.7,78.38
72,KLA,Milpitas,CA,Technology,16,84.77,95.57,73.68,85.16
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1
74,Lear,Southfield,MI,Automotive & Components,3,84.61,84.37,82.83,86.7
75,Moody's,New York City,NY,Financial,11,84.49,84.07,84.47,85.01
76,Pfizer,New York City,NY,"Health Care, Life Sciences & Pharmaceuticals",11,84.48,84.54,91.45,77.54
77,Prologis,San Francisco,CA,Real Estate & Housing,2,84.46,88.01,89.27,76.18
78,Baker Hughes,Houston,TX,Energy & Utilities,1,84.44,92.42,72.91,88.09
79,Microchip,Chandler,AZ,Technology,17,84.38,92.98,64.23,96.03
80,MetLife,New York City,NY,Financial,12,84.34,89.11,82.59,81.42
81,American Express,New York City,NY,Financial,13,84.31,85.97,82.02,85.02
